word_2018,count
vieja,1
discusión,1
señala,2
maldad,1
inna,1
individuos,3
considera,1
producto,3
tomará,1
partido,1
segunda,2
tuará,2
basado,1
premisa,1
peque,3
ña,1
porción,1
entiende,1
condición,2
ga,2
rantizar,1
integridad,3
libres,2
amenazas,1
du,2
radera,1
fortale,1
cerá,1
capacidades,2
ejecución,1
actualizar,1
catálogo,1
clasificación,1
instalaciones,4
estratégicas,2
fortalecer,2
interior,2
defensa,4
promover,3
postulado,1
contribuir,2
conocimiento,2
colectivo,1
tema,1
mejorar,4
tecnológicas,1
investiga,2
científica,3
generación,1
estratégica,2
bases,2
único,1
identificación,1
biometrizado,1
soldados,1
marinos,1
uniformado,1
procura,1
incrementar,2
civil,5
impulsará,7
enfatizará,1
par,2
ejército,1
armada,1
conservarán,1
territorial,5
asistencia,1
institutos,1
armados,1
seguirán,1
aportando,1
esferas,1
aeronáutica,1
informática,1
industria,5
ingeniería,1
carencia,1
corporación,4
profesional,1
afrontar,1
desafío,1
necesario,3
seguir,1
disponiendo,1
castrenses,1
guridad,1
cinco,4
termina,1
completa,1
primordial,1
servación,1
realizará,2
enfoque,4
comunidad,2
integrantes,6
regirán,1
doctrina,1
fundada,1
estará,3
adscrita,1
titular,1
quien,1
presida,1
órgano,1
mando,3
tratégico,1
táctico,1
consistirá,1
junta,1
jefes,1
compuesta,1
dependencia,2
ramos,1
marina,2
mixto,1
intermedio,1
órga,1
tendrán,3
entrena,1
jerarquía,1
estructura,2
permitirá,4
disciplinada,1
capacitada,2
dispondrá,1
suficien,1
tes,3
fijas,1
equipamiento,2
zo,1
despliegue,1
regional,6
sustituirá,1
policías,1
subsidiaria,1
medida,1
fase,2
inicial,3
conformará,1
procedentes,3
naval,2
secretariado,1
otra,4
prioridad,6
conforma,1
ten,1
drán,1
garantizados,2
adquiridos,2
provengan,1
paulati,1
na,6
homologación,2
sexenales,1
distribuidas,1
derativas,1
prioritarias,1
zonas,9
conflictivas,1
coordina,2
gabinete,1
encabezado,1
presidente,1
sesiona,1
diariamente,1
palacio,1
él,2
participan,2
secretarios,1
gobernación,1
convoca,1
regularidad,2
busca,4
replicar,1
escala,3
estatal,1
participa,1
coordinadores,1
federales,3
ejecutivos,1
comandancias,1
invitaciones,1
especiales,1
fiscalías,1
auto,3
ridades,1
judiciales,1
fundamental,3
desarrollado,1
siguien,1
asuntos,2
prioritarios,1
urgentes,1
desarrollará,1
considere,1
articule,1
fuerzos,1
aportaciones,1
órdenes,1
tome,1
contextos,2
colecti,2
va,3
coordinación,1
efectiva,5
cos,1
estandarizar,1
rubros,2
relacionados,1
capa,1
citación,1
certificación,1
dignifi,1
cación,1
impulsado,1
inmediato,1
solidar,1
amplia,1
parti,1
cipación,1
enfocará,1
esfuerzos,2
alternativo,2
crear,4
pendencias,1
encargadas,1
alternativas,1
sostenibles,1
hogares,2
dependen,1
ingreso,4
provisto,1
cultivo,1
extracción,1
ilegal,2
hidro,1
carburos,1
autotransporte,1
etc,1
especial,3
trabajará,2
disuadir,1
autores,1
lictivas,1
reincidencia,1
intervenciones,2
restaurativas,1
orientadas,1
resociali,1
